restaurant_id,restaurant_name,cuisine,city,area,total_orders,total_cancellations,cancellation_rate_pct,avg_delivery_duration,avg_order_value,avg_quality_risk,restaurant_health_score,distinct_items_served,top_ordered_item
RST00007,Burrito Bandido Garhoud,Mexican,Dubai,Garhoud,417,57,13.67,44.45,114.24,0.425,0.526,3,Loaded Nachos
RST00008,Bombay Kitchen Bur Dubai,Indian,Dubai,Bur Dubai,411,50,12.17,43.14,56.49,0.395,0.645,10,Samosa (2pcs)
RST00018,Royal Biryani House Al Reef,Indian,Abu Dhabi,Al Reef,391,38,9.72,42.7,56.47,0.376,0.694,10,Chicken Biryani
RST00031,All American Diner Al Nuaimiya,American,Ajman,Al Nuaimiya,378,45,11.9,44.09,57.13,0.388,0.682,10,Mac & Cheese
RST00048,Beirut Express Jumeirah,Lebanese,Dubai,Jumeirah,394,43,10.91,43.15,113.75,0.352,0.837,10,Manakeesh Zaatar
RST00064,Babel Beirut Marina,Lebanese,Dubai,Marina,404,61,15.1,43.28,253.64,0.439,0.465,10,Lamb Kibbeh
RST00065,Spice Route Al Nahda,Indian,Sharjah,Al Nahda,400,38,9.5,41.5,55.92,0.311,0.988,10,Chicken Tikka Masala
RST00066,Leila Restaurant Al Barsha,Lebanese,Dubai,Al Barsha,371,51,13.75,44.63,113.47,0.402,0.603,10,Chicken Tawook
RST00081,Khaleeji Bites Oud Metha,Arabic,Dubai,Oud Metha,381,33,8.66,43.5,131.75,0.352,0.817,10,Lamb Mandi
RST00088,Tawlet Discovery Gardens,Lebanese,Dubai,Discovery Gardens,403,32,7.94,41.59,56.11,0.355,0.796,10,Fattoush Salad
RST00101,Peshawar Wala Muwaileh,Pakistani,Sharjah,Muwaileh,370,32,8.65,42.36,53.48,0.38,0.713,10,Aloo Gosht
RST00116,All American Diner Downtown,American,Dubai,Downtown,389,73,18.77,43.0,253.26,0.456,0.416,10,Crispy Chicken Sandwich
RST00121,Shawarma Station Al Furjan,Arabic,Dubai,Al Furjan,376,39,10.37,41.65,128.29,0.354,0.77,10,Machboos
RST00123,Delhi Darbar Al Reem Island,Indian,Abu Dhabi,Al Reem Island,365,38,10.41,43.59,109.44,0.39,0.691,10,Lamb Rogan Josh
RST00131,Emirati Table Marina,Arabic,Dubai,Marina,393,46,11.7,43.1,304.02,0.363,0.802,10,Dates & Karak
RST00135,Vesuvio Kitchen Al Furjan,Italian,Dubai,Al Furjan,417,41,9.83,43.42,142.55,0.382,0.701,10,Cannoli Siciliani
RST00136,Wasabi Kitchen Al Reef,Japanese,Abu Dhabi,Al Reef,385,43,11.17,44.22,74.32,0.395,0.671,10,Teriyaki Chicken Bowl
