user_id,total_orders,avg_order_value,total_spend,total_cancellations,cancellation_rate_pct,weekend_orders,ramadan_orders,avg_delivery_duration,avg_risk_score,user_subscription,city,payment_method,churn_risk,top_cuisine
USR000001,27,135.93,3670.06,1,3.7,9,2,40.13,0.372,1,Dubai,Apple Pay,0,Indian
USR000007,17,105.41,1791.89,4,23.53,3,0,49.22,0.394,1,Dubai,Apple Pay,1,Indian
USR000018,31,138.38,4289.73,5,16.13,6,2,53.3,0.409,0,Dubai,Credit Card,0,Indian
USR000021,32,112.3,3593.6,4,12.5,11,4,42.14,0.362,0,Dubai,Apple Pay,0,Pakistani
USR000023,21,132.4,2780.3,6,28.57,8,1,42.92,0.392,1,Dubai,Apple Pay,1,Lebanese
USR000027,41,104.95,4302.82,3,7.32,13,3,41.55,0.346,1,Ajman,In-App Wallet,0,Indian
USR000028,31,139.64,4328.77,3,9.68,7,1,40.92,0.343,1,Dubai,Credit Card,0,Indian
USR000031,22,83.06,1827.4,2,9.09,5,2,34.08,0.335,0,Dubai,In-App Wallet,0,Indian
USR000037,15,97.2,1458.04,0,0.0,3,5,51.99,0.395,0,Dubai,Apple Pay,1,Lebanese
USR000043,29,147.24,4269.92,5,17.24,4,3,43.11,0.363,0,Dubai,Credit Card,0,Indian
USR000044,27,150.85,4072.9,3,11.11,7,4,41.57,0.39,1,Dubai,Debit Card,0,Indian
USR000055,23,132.53,3048.14,5,21.74,10,4,52.68,0.415,1,Dubai,Credit Card,0,Indian
USR000056,25,104.88,2622.0,2,8.0,9,1,42.57,0.395,1,Dubai,Credit Card,0,Indian
USR000058,27,123.56,3336.24,4,14.81,3,1,44.2,0.423,1,Abu Dhabi,Apple Pay,0,Indian
USR000061,31,152.39,4724.04,1,3.23,4,1,47.32,0.369,1,Dubai,Credit Card,0,Indian
USR000065,26,139.49,3626.82,2,7.69,11,2,45.95,0.429,1,Sharjah,In-App Wallet,0,Indian
USR000081,29,146.4,4245.46,7,24.14,8,3,38.92,0.403,1,Abu Dhabi,Credit Card,0,Indian
USR000085,31,120.63,3739.59,1,3.23,11,2,42.25,0.38,1,Sharjah,Credit Card,0,Indian
USR000086,32,110.51,3536.4,3,9.38,8,4,44.78,0.388,0,Dubai,Credit Card,0,Indian
USR000087,25,99.21,2480.14,6,24.0,5,2,41.56,0.388,0,Dubai,Debit Card,0,Pakistani
USR000091,22,122.46,2694.21,2,9.09,8,1,39.8,0.348,1,Dubai,Apple Pay,0,Indian
USR000096,10,102.34,1023.4,0,0.0,2,1,48.7,0.373,1,Abu Dhabi,In-App Wallet,1,Indian
USR000098,33,115.64,3815.99,2,6.06,14,1,44.01,0.388,1,Sharjah,In-App Wallet,0,Indian
USR000099,30,155.84,4675.06,4,13.33,12,3,47.61,0.384,0,Dubai,Debit Card,0,Indian
USR000100,33,137.67,4543.15,1,3.03,10,4,39.32,0.368,1,Ajman,Credit Card,0,Indian
USR000116,13,111.62,1451.1,0,0.0,3,2,48.93,0.369,0,Dubai,In-App Wallet,1,Indian
USR000118,30,131.16,3934.95,4,13.33,3,1,40.77,0.367,0,Dubai,Credit Card,0,Indian
USR000120,17,76.95,1308.15,4,23.53,3,4,42.74,0.369,0,Dubai,Apple Pay,1,Lebanese
USR000121,30,99.82,2994.53,2,6.67,14,1,38.14,0.36,0,Abu Dhabi,Apple Pay,0,Indian
USR000124,20,160.34,3206.75,4,20.0,4,1,46.89,0.382,1,Dubai,In-App Wallet,0,Indian
USR000129,28,99.43,2784.03,2,7.14,11,6,40.32,0.363,1,Sharjah,Apple Pay,0,Indian
USR000136,24,124.38,2985.04,2,8.33,8,2,38.77,0.401,0,Abu Dhabi,Apple Pay,1,Indian
USR000137,27,130.46,3522.38,4,14.81,8,3,34.99,0.334,1,Dubai,In-App Wallet,0,Indian
USR000148,28,119.47,3345.1,5,17.86,9,2,38.62,0.37,1,Dubai,Apple Pay,0,Indian
USR000151,32,137.14,4388.54,1,3.13,7,1,45.92,0.377,0,Dubai,In-App Wallet,0,Indian
USR000156,18,117.13,2108.41,4,22.22,5,2,42.41,0.407,1,Dubai,In-App Wallet,1,Indian
USR000164,15,148.32,2224.83,3,20.0,6,3,55.41,0.407,1,Dubai,Credit Card,1,Indian
USR000165,14,158.82,2223.5,1,7.14,7,3,48.66,0.414,1,Abu Dhabi,In-App Wallet,1,Indian
USR000166,24,97.81,2347.54,4,16.67,11,1,41.74,0.365,1,Abu Dhabi,Apple Pay,0,Filipino
USR000169,27,95.23,2571.17,4,14.81,7,1,41.42,0.38,1,Ajman,Credit Card,0,Indian
USR000170,27,151.32,4085.65,3,11.11,10,4,40.76,0.381,0,Dubai,Credit Card,0,Arabic
